107/01/23,3698304,224691884,60.5,62.3,58.6,60.5,X0.00,2716
107/01/24,1010929,60385659,60.5,60.5,59.1,59.6,-0.90,804
107/01/25,480631,28846060,59.6,60.7,59.6,59.6, 0.00,392
107/01/26,574511,33645633,59.6,59.6,58.0,58.1,-1.50,513
107/01/29,501287,28655959,58.5,58.8,56.3,57.0,-1.10,439
107/01/30,592451,32755273,57.0,57.0,54.2,55.5,-1.50,506
107/01/31,263510,14394030,55.0,55.2,54.1,54.3,-1.20,245
