2016,2017,2017/06/28,,,,,,0,0,0,0,0,0,0,14.1,0
2015,2016,2016/06/28,,,,,,0,0,0,0,0,0,0,13.4,0
2014,2015,2015/06/24,,,,,,0,0,0,0,0,0,0,14.8,0
2013,2014,2014/06/19,,,,,,0,0,0,0,0,0,0,24.2,0
2012,2013,2013/06/19,,,,,,0,0,0,0,0,0,0,23.9,0
2011,2012,2012/06/21,,,,,,0,0,0,0,0,0,0,30.2,0
2010,2011,2011/06/17,2011/08/15,58.6,2011/08/15,58.6,,1.79,0,1.79,1.2,0,1.2,2.99,81.2,3.68
2009,2010,2010/06/15,2010/07/15,90.3,,,,2.2,0,2.2,0,0,0,2.2,91.6,2.4
2008,2009,2009/06/03,2009/07/23,,2009/07/23,,,6,0,6,1,0,1,7,79.4,8.82
2007,2008,2008/05/13,2008/05/29,,,,,25.02,0,25.02,1,0,1,26.02,,
