2016,2017,2017/06/22,2017/07/13,52,,,2017/08/11,3.1,0,3.1,0,0,0,3.1,52.6,5.89
2015,2016,2016/06/14,2016/07/04,41.95,,,2016/08/09,3,0,3,0,0,0,3,48.8,6.15
2014,2015,2015/06/17,2015/07/17,46.2,,,2015/08/12,4,0,4,0,0,0,4,50.1,7.98
2013,2014,2014/06/24,2014/08/12,67.2,,,2014/08/29,3,0,3,0,0,0,3,62.6,4.8
2012,2013,2013/06/24,2013/08/14,51.6,2013/08/14,51.6,,2,0,2,1,0,1,3,56.4,5.32
2011,2012,2012/06/25,2012/08/28,,2012/08/28,,,1,1,2,5.5,1,6.5,8.5,,
2010,2011,2011/06/30,2011/08/31,,2011/08/31,,,2,0,2,2,0,2,4,,
