2016,2017,2017/06/19,2017/08/11,40.3,,,2017/09/08,2.29,0,2.29,0,0,0,2.29,40,5.73
2015,2016,2016/06/22,2016/08/01,38.2,,,2016/08/30,2.4,0,2.4,0,0,0,2.4,36.1,6.65
2014,2015,2015/06/24,2015/08/06,32.25,,,2015/09/04,2.5,0,2.5,0,0,0,2.5,36,6.95
2013,2014,2014/06/18,2014/08/07,38.7,,,2014/09/10,2.3,0,2.3,0,0,0,2.3,37.6,6.12
2012,2013,2013/06/19,2013/07/25,35.6,,,,2.4,0,2.4,0,0,0,2.4,35.2,6.83
2011,2012,2012/06/22,2012/07/25,30,,,,2.6,0,2.6,0,0,0,2.6,37.4,6.95
2010,2011,2011/06/22,2011/08/12,41.75,2011/08/12,41.75,,2.1,0,2.1,0,0.9,0.9,3,45.4,6.61
2009,2010,2010/06/21,2010/08/12,60.5,2010/08/12,60.5,,2,0,2,1.8,0,1.8,3.8,58.8,6.46
2008,2009,2009/06/16,2009/07/16,34.6,,,,1.4,0,1.4,0,0,0,1.4,34.9,4.01
2007,2008,2008/06/25,2008/08/15,35.85,2008/08/15,35.85,,2.08,0,2.08,0.3,0,0.3,2.38,31.1,7.65
2006,2007,2007/06/13,2007/07/31,27.35,2007/07/31,27.35,,1.19,0,1.19,0.5,0,0.5,1.68,29.9,5.61
2005,2006,2006/06/14,2006/07/13,10.55,,,,0.16,0,0.16,0,0,0,0.16,11.9,1.35
