2016,2017,2017/06/14,2017/07/19,67.7,,,2017/08/17,4.5,0,4.5,0,0,0,4.5,67.2,6.7
2015,2016,2016/06/07,2016/07/20,51.4,,,2016/08/17,4.5,0,4.5,0,0,0,4.5,55.4,8.12
2014,2015,2015/06/16,2015/07/22,96.5,,,2015/08/19,5.5,0,5.5,0,0,0,5.5,97.8,5.63
2013,2014,2014/06/12,2014/07/31,126,,,2014/08/27,7,0,7,0,0,0,7,120.8,5.8
2012,2013,2013/06/13,2013/07/31,95.1,2013/07/31,95.1,,8,0,8,0.3,0,0.3,8.3,107.3,7.74
2011,2012,2012/06/06,2012/08/16,125,2012/08/16,125,,6.5,0,6.5,0.3,0,0.3,6.8,126.9,5.36
2010,2011,2011/05/12,2011/06/21,91.7,2011/06/21,91.7,,3.8,0,3.8,0.3,0,0.3,4.1,87,4.71
2009,2010,2010/06/15,2010/07/26,41.15,2010/07/26,41.15,,2.3,0,2.3,0.3,0,0.3,2.6,45.3,5.74
2008,2009,2009/06/16,2009/07/27,43,2009/07/27,43,,1.7,0,1.7,0.3,0,0.3,2,37.2,5.38
2007,2008,2008/06/13,2008/07/25,32.65,2008/07/25,32.65,,3,0,3,0.3,0,0.3,3.3,33.5,9.84
2006,2007,2007/06/13,2007/07/16,53.8,2007/07/16,53.8,,2.5,0,2.5,0.3,0,0.3,2.8,51.3,5.46
2005,2006,2006/06/14,2006/07/26,47.48,2006/07/26,47.48,,4,0,4,0.5,0,0.5,4.5,60.5,7.44
2004,2005,2005/06/14,2005/08/30,80.4,2005/08/30,80.4,,3.3,0,3.3,2.2,0,2.2,5.5,92.4,5.95
2003,2004,2004/06/15,2004/08/12,48.2,2004/08/12,48.2,,1.5,0,1.5,2,0,2,3.5,75.2,4.65
2002,2003,2003/05/30,2003/07/23,63,2003/07/23,63,,1,0,1,3.48,0,3.48,4.48,67.9,6.6
2001,2002,2002/04/26,2002/08/08,84.85,2002/08/08,84.85,,0.5,0,0.5,3,0,3,3.5,92,3.81
2000,2001,2001/05/02,,,2000/12/21,,,0,0,0,1.2,0,1.2,1.2,,
1998,1999,,,,,,,0,0,0,0,0,0,0,,
