2016,2017,2017/06/02,2017/07/05,27.8,,,2017/08/01,0,1.5,1.5,0,0,0,1.5,29.8,5.04
2015,2016,2016/06/06,2016/07/13,38.55,,,2016/08/09,4.2,0,4.2,0,0,0,4.2,39.2,10.72
2014,2015,2015/06/02,2015/07/03,67.7,,,2015/08/03,4.15,0,4.15,0,0,0,4.15,63.2,6.56
2013,2014,2014/06/04,2014/07/10,48.8,,,,3.19,0,3.19,0,0,0,3.19,52.7,6.05
2012,2013,2013/06/11,2013/07/22,57.9,,,,2.94,0,2.94,0,0,0,2.94,58,5.07
2011,2012,2012/06/06,2012/07/05,45.35,,,,3,0,3,0,0,0,3,48.3,6.21
2010,2011,2011/06/09,2011/07/05,60.3,,,,4,0,4,0,0,0,4,48.9,8.18
2009,2010,2010/06/14,2010/07/29,62.6,,,,4,0,4,0,0,0,4,66.3,6.03
2008,2009,2009/06/16,2009/08/12,,,,,3,0,3,0,0,0,3,86.7,3.46
2007,2008,2008/06/28,2008/08/01,,,,,4,0,4,0,0,0,4,,
