2016,2017,2017/06/16,2017/07/26,216,2017/08/10,194,,0.07,2.43,2.5,0,0.5,0.5,3,183.1,1.64
2015,2016,2016/05/09,,,,,,0,0,0,0,0,0,0,42.9,0
2014,2015,2015/05/12,,,,,,0,0,0,0,0,0,0,8.36,0
2013,2014,2014/06/24,,,,,,0,0,0,0,0,0,0,6.87,0
2012,2013,2013/05/03,,,,,,0,0,0,0,0,0,0,8.75,0
2011,2012,2012/05/25,,,,,,0,0,0,0,0,0,0,9.1,0
2010,2011,2011/05/25,,,,,,0,0,0,0,0,0,0,5.4,0
2009,2010,2010/06/25,,,,,,0,0,0,0,0,0,0,8.11,0
2008,2009,2009/06/26,,,,,,0,0,0,0,0,0,0,2.21,0
2007,2008,2008/06/27,,,,,,0,0,0,0,0,0,0,2.13,0
2006,2007,,,,,,,0,0,0,0,0,0,0,4.15,0
2005,2006,2006/04/12,,,,,,0,0,0,0,0,0,0,1.63,0
2004,2005,2005/06/27,,,,,,0,0,0,0,0,0,0,3.77,0
2003,2004,2004/05/27,,,,,,0,0,0,0,0,0,0,5.73,0
2002,2003,2003/06/27,,,,,,0,0,0,0,0,0,0,9.78,0
2001,2002,2002/06/26,,,2002/08/08,,,0,0,0,1.5,0,1.5,1.5,18.7,8.03
2000,2001,,,,,,,0,0,0,0,0,0,0,,
1999,2000,,,,,,,0,0,0,0,0,0,0,,
1998,1999,,,,,,,0,0,0,0,0,0,0,,
