2016,2017,2017/06/23,2017/08/04,43.8,,,2017/08/30,3,0,3,0,0,0,3,45.4,6.61
2015,2016,2016/06/23,2016/08/19,58,,,2016/09/09,1.5,0,1.5,0,0,0,1.5,57.8,2.6
2014,2015,2015/06/29,2015/08/14,37.3,2015/08/14,37.3,2015/09/14,1.2,0,1.2,1,0,1,2.2,48.9,4.5
2013,2014,2014/06/20,2014/08/07,70.6,2014/08/07,70.6,2014/09/03,1.2,0,1.2,0.5,0,0.5,1.7,70.8,2.4
2012,2013,2013/06/20,2013/07/26,66.79,2013/07/26,66.79,,1,0,1,0.5,0,0.5,1.5,60.4,2.48
2011,2012,2012/06/20,2012/07/31,30.19,2012/07/31,30.19,,1,0,1,0.5,0,0.5,1.5,36,4.17
2010,2011,2011/06/28,2011/08/03,48.2,,,,0.5,0,0.5,0,0,0,0.5,37.8,1.32
2009,2010,2010/06/25,,,,,,0,0,0,0,0,0,0,57.1,0
2008,2009,2009/06/25,2009/08/06,41.49,2009/08/06,41.49,,0.44,0,0.44,0.88,0,0.88,1.33,33.7,3.94
2007,2008,2008/06/25,2008/08/26,17.1,2008/08/26,17.1,,1,0,1,0.5,0,0.5,1.5,18,8.32
2006,2007,2007/06/21,2007/07/25,28.1,,,,1.5,0,1.5,0,0,0,1.5,22.2,6.76
2005,2006,2006/06/21,2006/08/02,14.8,,,,1,0,1,0,0,0,1,16.4,6.1
2004,2005,2005/06/22,2005/08/30,,2005/08/30,,,1.1,0,1.1,0.9,0,0.9,2,,
2003,2004,2004/06/25,2004/09/24,,2004/09/24,,,0.2,0,0.2,1,0,1,1.2,,
2002,2003,,,,,,,0,0,0,1.09,0,1.09,1.09,,
2001,2002,,,,,,,0,0,0,0.5,0,0.5,0.5,,
2000,2001,,,,,,,0.8,0,0.8,0,0,0,0.8,,
