2017,2018,2018/06/05,,,,,,15,5,20,0,0,0,20,520.4,3.84
2016,2017,2017/06/16,2017/07/17,520,,,2017/08/18,15,5,20,0,0,0,20,492.8,4.06
2015,2016,2016/05/24,2016/08/24,464,2016/08/24,464,2016/10/14,15,0,15,0.5,0,0.5,15.5,480.5,3.23
2014,2015,2015/06/30,2015/08/25,354.5,2015/08/25,354.5,2015/10/16,10.8,0,10.8,0.5,0,0.5,11.3,381.7,2.96
2013,2014,2014/06/24,2014/08/25,215.5,2014/08/25,215.5,2014/10/08,7.3,0,7.3,0.5,0,0.5,7.8,238.2,3.27
2012,2013,2013/05/22,2013/06/25,,2013/06/25,,,7,0,7,0.5,0,0.5,7.5,,
