2016,2017,2017/06/08,,,,,,0,0,0,0,0,0,0,5.3,0
2015,2016,2016/06/22,,,,,,0,0,0,0,0,0,0,6.99,0
2014,2015,2015/06/18,,,,,,0,0,0,0,0,0,0,12.4,0
2013,2014,2014/06/12,,,,,,0,0,0,0,0,0,0,6.62,0
2012,2013,2013/06/11,,,,,,0,0,0,0,0,0,0,5.75,0
2011,2012,2012/06/19,,,,,,0,0,0,0,0,0,0,6.14,0
2010,2011,2011/06/10,,,,,,0,0,0,0,0,0,0,9.39,0
2009,2010,2010/06/15,,,,,,0,0,0,0,0,0,0,12.5,0
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,9.28,0
2007,2008,2008/06/19,,,,,,0,0,0,0,0,0,0,11.2,0
2006,2007,2007/06/13,,,,,,0,0,0,0,0,0,0,13.7,0
2005,2006,2006/06/21,,,,,,0,0,0,0,0,0,0,7.94,0
2004,2005,2005/06/17,,,,,,0,0,0,0,0,0,0,11.7,0
2003,2004,2004/06/15,2004/09/30,10.75,,,,1.01,0,1.01,0,0,0,1.01,18.8,5.38
2002,2003,2003/06/12,2003/07/31,35.6,2003/07/31,35.6,,1.53,0,1.53,1.02,0,1.02,2.56,37.4,6.84
2001,2002,2002/06/18,,,,,,1.5,0,1.5,2,0,2,3.5,80.9,4.32
2000,2001,2001/05/03,2001/07/05,,2001/07/05,,,1.5,0,1.5,3,0,3,4.5,77.8,5.79
1999,2000,2000/05/26,2000/07/03,,2000/07/03,,,2,0,2,3,0,3,5,109.2,4.58
1998,1999,,,,,,,0,0,0,1.8,0,1.8,1.8,,
