2016,2017,2017/06/22,,,,,,0,0,0,0,0,0,0,137.1,0
2015,2016,2016/06/17,,,2016/08/18,,,0,0,0,0,0.3,0.3,0.3,,
2014,2015,2015/06/30,,,,,,0,0,0,0,0,0,0,,
