2016,2017,2017/06/20,,,,,,0,0,0,0,0,0,0,13.2,0
2015,2016,2016/03/30,,,,,,0,0,0,0,0,0,0,8.62,0
2014,2015,2015/06/23,,,,,,0,0,0,0,0,0,0,9.86,0
2013,2014,2014/06/18,,,,,,0,0,0,0,0,0,0,13.1,0
2012,2013,2013/06/24,,,,,,0,0,0,0,0,0,0,14.1,0
2011,2012,2012/06/18,2012/07/12,14.8,,,,0,0.5,0.5,0,0,0,0.5,17.2,2.9
2010,2011,2011/06/09,2011/07/13,20.1,2011/07/13,20.1,,0.2,0,0.2,0,0.5,0.5,0.7,22,3.19
2009,2010,2010/06/15,2010/07/15,30.05,2010/07/15,30.05,,0.8,0,0.8,0,0.5,0.5,1.3,31.2,4.17
2008,2009,2009/06/16,2009/07/15,30.15,2009/07/15,30.15,,0.25,0,0.25,0,1,1,1.25,30.6,4.08
2007,2008,2008/06/13,2008/08/07,35.9,2008/08/07,35.9,,3.3,0,3.3,0,0.5,0.5,3.8,40.2,9.46
2006,2007,2007/05/21,2007/06/22,,2007/06/22,,,2.5,0,2.5,1,0,1,3.5,63.8,5.49
2005,2006,2006/06/16,2006/07/25,,2006/07/25,,,3.2,0,3.2,0,1,1,4.2,,
2004,2005,2005/06/15,2005/07/03,,,,,0.8,0,0.8,0,1,1,1.8,,
2003,2004,2004/05/28,,,,,,0.2,0,0.2,0,0,0,0.2,,
2002,2003,2003/06/02,,,,,,0.3,0,0.3,0,0,0,0.3,,
2001,2002,,,,,,,0.4,0,0.4,0,0,0,0.4,,
2000,2001,,,,,,,0.2,0,0.2,1.4,0.4,1.8,2,,
1999,2000,,,,,,,0,0,0,1.2,1,2.2,2.2,,
