2016,2017,2017/06/28,2017/08/24,50.5,,,2017/09/20,3.3,0,3.3,0,0,0,3.3,53.3,6.19
2015,2016,2016/06/28,2016/08/25,51.9,,,2016/09/22,3.21,0,3.21,0,0,0,3.21,53.4,6.01
2014,2015,2015/06/22,2015/08/27,25,,,2015/09/18,1.71,0,1.71,0,0,0,1.71,30.1,5.68
2013,2014,2014/06/20,,,,,,0,0,0,0,0,0,0,17,0
2012,2013,2013/06/28,,,,,,0,0,0,0,0,0,0,11.7,0
2011,2012,2012/06/22,,,,,,0,0,0,0,0,0,0,11.3,0
2010,2011,2011/06/24,,,,,,0,0,0,0,0,0,0,12.3,0
2009,2010,2010/06/25,2010/09/09,20.8,2010/09/09,20.8,,0.98,0,0.98,0.98,0,0.98,1.96,20.2,9.68
2008,2009,2009/06/16,,,,,,0,0,0,0,0,0,0,14,0
2007,2008,2008/06/13,2008/09/11,7.52,2008/09/11,7.52,,0.1,0,0.1,0.5,0,0.5,0.6,9.59,6.26
2006,2007,,,,,,,0,0,0,0,0,0,0,16.3,0
2005,2006,2006/06/15,,,,,,0,0,0,0,0,0,0,9.18,0
2004,2005,2005/06/13,,,,,,0,0,0,0,0,0,0,11.5,0
2003,2004,2004/06/11,2004/09/13,15,2004/09/13,15,,1.28,0,1.28,0.1,0,0.1,1.38,18,7.68
2002,2003,2003/06/13,2003/07/23,23.1,2003/07/23,23.1,,0.85,0,0.85,1.05,0,1.05,1.9,26.7,7.12
2001,2002,,,,,,,0,0,0,2.5,0,2.5,2.5,,
2000,2001,,,,,,,0,0,0,2.9,0,2.9,2.9,,
1999,2000,,,,,,,0,0,0,2,0,2,2,,
