2017,2018,2018/05/28,,,,,,6,0,6,0,0,0,6,241.3,2.49
2016,2017,2017/06/15,2017/07/11,158.5,,,2017/08/04,4.5,0,4.5,0,0,0,4.5,170.8,2.64
2015,2016,2016/06/16,2016/07/07,149,,,2016/07/29,3.5,0,3.5,0,0,0,3.5,133.3,2.63
2014,2015,2015/06/08,2015/07/09,81.8,,,2015/07/31,2.2,0,2.2,0,0,0,2.2,95.5,2.3
2013,2014,2014/06/30,2014/07/24,,,,2014/08/15,2,0,2,0,0,0,2,,
2012,2013,2013/06/17,,,,,,0.8,0,0.8,0,0,0,0.8,,
2011,2012,2012/06/04,,,,,,0.8,0,0.8,0,0,0,0.8,,
2010,2011,2011/06/03,,,,,,0.7,0,0.7,0,0,0,0.7,,
2009,2010,2010/06/01,,,,,,0.35,0,0.35,0,0,0,0.35,,
