2016,2017,2017/06/13,,,,,,0,0,0,0,0,0,0,9.95,0
2015,2016,2016/06/17,,,,,,0,0,0,0,0,0,0,8.96,0
2014,2015,2015/06/18,2015/07/22,11.4,,,2015/08/18,0.75,0,0.75,0,0,0,0.75,13.9,5.41
2013,2014,2014/06/17,2014/07/17,22.2,,,2014/08/14,0.75,0,0.75,0,0,0,0.75,20.9,3.58
2012,2013,2013/06/25,2013/07/25,18.35,,,,0.5,0,0.5,0,0,0,0.5,19.1,2.62
2011,2012,2012/06/19,,,,,,0,0,0,0,0,0,0,19.6,0
2010,2011,2011/06/17,2011/07/19,17.25,,,,1.25,0,1.25,0,0,0,1.25,22.8,5.49
2009,2010,2010/06/17,2010/07/14,44.1,,,,2.49,0,2.49,0,0,0,2.49,43.6,5.71
2008,2009,2009/06/16,2009/08/20,37.3,2009/08/20,37.3,,1.1,0,1.1,0.46,0,0.46,1.55,34.9,4.44
2007,2008,2008/06/13,2008/08/12,35.45,2008/08/12,35.45,,1.75,0,1.75,0.5,0,0.5,2.25,30.8,7.3
2006,2007,2007/06/15,2007/07/25,52.1,2007/07/25,52.1,,1.5,0,1.5,0.5,0,0.5,2,45.6,4.38
2005,2006,2006/06/06,2006/08/15,32.6,2006/08/15,32.6,,0.26,0,0.26,0.61,0.26,0.87,1.13,32.5,3.47
2004,2005,2005/06/16,2005/08/11,18.5,2005/08/11,18.5,,0.17,0,0.17,0.17,0.52,0.7,0.87,16.1,5.42
2003,2004,2004/06/15,,,2004/08/05,10.45,,0,0,0,0.2,0.3,0.5,0.5,14.6,3.41
2002,2003,2003/05/30,,,2003/07/24,22.1,,0,0,0,0.36,0.1,0.47,0.47,16.9,2.78
2001,2002,2002/06/21,,,,,,0,0,0,0.25,0.25,0.5,0.5,19.8,2.53
2000,2001,2001/05/24,2001/07/09,16.64,2001/07/09,15.43,,0.16,0,0.16,0.4,0.5,0.9,1.06,18.3,5.8
1999,2000,2000/03/20,,,2000/11/28,27.45,,0,0,0,0.68,0.12,0.8,0.8,42.2,1.9
1998,1999,1999/07/08,,,1999/08/09,10,,0,0,0,0.68,0.82,1.51,1.51,,
1997,1998,,,,,,,0,0,0,1,0.62,1.62,1.62,,
1996,1997,,,,,,,0,0,0,1.2,0,1.2,1.2,,
