2015,2016,,,,,,,0,0,0,0,0,0,0,1.1,0
2014,2015,,,,,,,0,0,0.18,0,0,0,0.18,2.74,6.57
2013,2014,,2014/01/16,4.46,,,,0.24,0,0.24,0,0,0,0.24,4.95,4.85
2012,2013,,2013/01/17,4.84,,,,0.24,0,0.24,0,0,0,0.24,4.66,5.15
2011,2012,2012/01/06,2012/01/13,8.85,,,,0.12,0,0.12,0,0,0,0.12,7.39,1.62
2010,2011,2011/01/10,,,,,,0.41,0,0.41,0,0,0,0.41,12.2,3.37
