2016,2017,2017/06/15,,,,,,0,0,0,0,0,0,0,10.6,0
2015,2016,2016/06/24,,,,,,0,0,0,0,0,0,0,11.2,0
2014,2015,2015/06/02,,,,,,0,0,0,0,0,0,0,7.87,0
2013,2014,2014/06/19,,,,,,0,0,0,0,0,0,0,21.3,0
2012,2013,2013/06/21,,,,,,0,0,0,0,0,0,0,22.1,0
2011,2012,2012/06/12,,,,,,0,0,0,0,0,0,0,16.3,0
2010,2011,2011/06/15,,,,,,0,0,0,0,0,0,0,28.2,0
2009,2010,2010/06/18,,,,,,0,0,0,0,0,0,0,23.4,0
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,16,0
2007,2008,2008/06/13,,,,,,0,0,0,0,0,0,0,15.8,0
2006,2007,2007/06/21,,,,,,0,0,0,0,0,0,0,29,0
2005,2006,2006/06/12,,,,,,0,0,0,0,0,0,0,26,0
2004,2005,2005/06/13,,,,,,0,0,0,0,0,0,0,19.4,0
2003,2004,2004/06/17,,,2005/02/14,15.2,,0,0,0,0,0.51,0.51,0.51,29.4,1.73
2002,2003,2003/06/27,2003/09/15,47.5,2003/09/15,47.5,,0.5,0,0.5,0.22,0.28,0.5,1,45.2,2.21
2001,2002,2002/06/28,2002/09/02,46.14,2002/09/02,46.14,,0.8,0,0.8,2.2,0,2.2,3,84,3.57
2000,2001,2001/06/22,2001/09/05,108.07,2001/09/05,108.07,,1,0,1,6,0,6,7,215.5,3.25
1999,2000,2000/06/22,,,2000/08/28,395,,0,0,0,4,1,5,5,401.2,1.25
1998,1999,1999/06/16,,,1999/07/22,134.5,,0,0,0,5.5,0.5,6,6,191.7,3.13
1997,1998,,,,,,,0,0,0,14,1,15,15,,
1996,1997,,,,,,,0,0,0,3,0,3,3,,
1995,1996,,,,,,,0,0,0,1.5,0,1.5,1.5,,
1994,1995,,,,,,,0,0,0,2.5,0,2.5,2.5,,
1993,1994,,,,,,,0,0,0,0,0,0,0,,
1992,1993,,,,,,,0,0,0,0,0,0,0,,
