2016,2017,2017/05/17,2017/06/05,220.5,,,2017/06/27,7.16,0.84,8,0,0,0,8,210.1,3.81
2015,2016,2016/04/20,2016/05/06,212.5,,,2016/05/31,5.72,1.28,7,0,0,0,7,210.3,3.33
2014,2015,2015/05/06,2015/06/01,282,,,2015/06/24,7.55,0.93,8.48,0,0,0,8.48,252.4,3.36
2013,2014,2014/05/14,2014/05/29,,,,,3.07,0.43,3.5,0,0,0,3.5,324,1.08
2012,2013,2013/05/08,,,,,,3.92,0,3.92,0,0,0,3.92,,
2011,2012,2012/06/05,,,,,,4.39,0,4.39,1,0,1,5.39,,
2010,2011,2011/04/18,,,,,,8.12,0,8.12,0,0,0,8.12,,
2009,2010,2010/04/29,,,,,,5.08,0,5.08,4,0,4,9.08,,
