2016,2017,2017/06/16,2017/08/09,17.8,2017/08/09,17.8,2017/09/11,0.49,0,0.49,0.74,0,0.74,1.23,18.5,6.63
2015,2016,2016/06/08,2016/07/28,17.7,2016/07/28,17.7,2016/08/29,0.43,0,0.43,1,0,1,1.43,18,7.95
2014,2015,2015/06/12,2015/07/30,18.4,2015/07/30,18.4,2015/08/31,0.43,0,0.43,0.87,0,0.87,1.3,19.8,6.57
2013,2014,2014/06/20,2014/08/21,18.4,2014/04/18,19,2014/09/19,0.28,0,0.28,0.89,0,0.89,1.17,19.1,6.11
2012,2013,2013/06/21,2013/08/15,17.85,2013/08/15,17.85,,0.3,0,0.3,1,0,1,1.3,18.6,7
2011,2012,2012/06/22,2012/08/16,15.9,2012/08/16,15.9,,0.2,0,0.2,0.5,0,0.5,0.7,15.6,4.49
2010,2011,2011/06/28,2011/08/25,17.15,2011/08/25,17.15,,0.2,0,0.2,0.7,0,0.7,0.9,17.7,5.09
2009,2010,2010/06/24,2010/08/19,14.25,2010/08/19,14.25,,0.2,0,0.2,0.4,0,0.4,0.6,14.5,4.14
2008,2009,2009/06/19,,,2009/08/13,10.65,,0,0,0,0.3,0,0.3,0.3,10.8,2.78
2007,2008,2008/06/13,2008/08/07,12.45,2008/08/07,12.45,,0.4,0,0.4,0.4,0,0.4,0.8,13.9,5.75
2006,2007,2007/06/15,,,,,,0,0,0,0,0,0,0,18.7,0
2005,2006,2006/06/09,2006/08/03,18.6,2006/08/03,18.6,,1,0,1,0.2,0,0.2,1.2,21,5.7
2004,2005,2005/06/10,2005/08/09,25.1,2005/08/09,25.1,,1.1,0,1.1,0.3,0,0.3,1.4,23.7,5.9
2003,2004,2004/06/11,2004/08/26,19.3,2004/08/26,19.3,,1.09,0,1.09,0.33,0,0.33,1.41,21.9,6.44
2002,2003,,,,,,,0,0,0,0,0,0,0,17.2,0
2001,2002,2002/06/26,,,2002/09/09,11.75,,0,0,0,0,0.8,0.8,0.8,12.8,6.23
