2016,2017,2017/05/31,2017/07/24,23.4,,,2017/08/15,0.5,0,0.5,0,0,0,0.5,24.8,2.01
2015,2016,2016/05/31,2016/07/22,31.1,,,2016/08/15,1.5,0,1.5,0,0,0,1.5,32.7,4.59
2014,2015,2015/06/18,2015/07/23,33.6,,,2015/08/14,0.5,0,0.5,0,0,0,0.5,33.3,1.5
2013,2014,2014/06/19,2014/07/28,42.4,,,2014/08/15,1,0,1,0,0,0,1,42,2.38
2012,2013,2013/06/19,2013/07/18,46.1,,,,1.5,0,1.5,0,0,0,1.5,50.7,2.96
2011,2012,2012/06/20,2012/07/19,46.15,,,,1.5,0,1.5,0,0,0,1.5,51.8,2.9
2010,2011,2011/06/17,2011/07/11,78.5,,,,2,0,2,0,0,0,2,65.7,3.04
2009,2010,2010/06/08,,,,,,2.5,0,2.5,0,0,0,2.5,60.5,4.13
2008,2009,,,,,,,0,0,0,0,0,0,0,,
