2016,2017,2017/06/28,,,,,,0,0,0,0,0,0,0,21.3,0
2015,2016,2016/06/30,,,,,,0,0,0,0,0,0,0,11.7,0
2014,2015,2015/06/30,,,,,,0,0,0,0,0,0,0,8.21,0
2013,2014,2014/06/27,,,,,,0,0,0,0,0,0,0,7.96,0
2012,2013,2013/06/26,,,,,,0,0,0,0,0,0,0,7.82,0
2011,2012,2012/06/22,,,,,,0,0,0,0,0,0,0,8.84,0
2010,2011,2011/05/30,,,,,,0,0,0,0,0,0,0,6.27,0
2009,2010,2010/06/15,,,,,,0,0,0,0,0,0,0,7.82,0
2008,2009,2009/06/22,,,,,,0,0,0,0,0,0,0,10.1,0
2007,2008,2008/06/27,2008/08/15,14.2,,,,1.04,0,1.04,0,0,0,1.04,15.5,6.72
2006,2007,2007/06/28,,,,,,0,0,0,0,0,0,0,,
