2016,2017,,2017/09/29,11.2,,,,0.19,0,0.19,0,0,0,0.19,12.4,1.53
2015,2016,,2016/04/07,13.19,,,,0.2,0,0.2,0,0,0,0.2,13.5,1.49
2014,2015,,2015/04/09,14.63,,,,0.2,0,0.2,0,0,0,0.2,13.3,1.5
2013,2014,,2014/04/09,12.19,,,,0.19,0,0.19,0,0,0,0.19,12.5,1.52
2012,2013,,2013/04/09,14.99,,,,0.19,0,0.19,0,0,0,0.19,14.2,1.34
2011,2012,,2012/04/05,12.4,,,,0.18,0,0.18,0,0,0,0.18,12.8,1.4
2010,2011,,2011/03/31,10.94,,,,0.19,0,0.19,0,0,0,0.19,11.2,1.69
2009,2010,,2010/04/06,10.37,,,,0.24,0,0.24,0,0,0,0.24,10.6,2.26
2008,2009,,2009/04/02,9.4,,,,0.22,0,0.22,0,0,0,0.22,10,2.2
2007,2008,,2008/04/02,11.19,,,,0.21,0,0.21,0,0,0,0.21,9.88,2.13
2006,2007,,2007/04/03,12.4,,,,0.19,0,0.19,0,0,0,0.19,11.4,1.66
