2016,2017,2017/06/21,,,,,,0,0,0,0,0,0,0,13.8,0
2015,2016,2016/06/20,2016/07/14,14.4,,,2016/08/12,0.5,0,0.5,0,0,0,0.5,15.6,3.21
2014,2015,2015/06/09,2015/06/29,27.25,,,2015/07/28,2.5,0,2.5,0,0,0,2.5,26.6,9.4
2013,2014,2014/06/06,2014/08/08,33.3,2014/08/08,33.3,2014/09/25,0.1,0.4,0.5,0.5,0,0.5,1,35.4,2.82
2012,2013,2013/06/27,2013/07/12,31.65,,,,0.9,0.85,1.75,0,0,0,1.75,34,5.15
2011,2012,2012/06/28,2012/07/13,29.6,,,,1.8,0,1.8,0,0,0,1.8,30.7,5.86
2010,2011,2011/06/22,2011/07/08,,,,,1.5,0,1.5,0,0,0,1.5,19.4,7.72
