2016,2017,2017/06/16,2017/08/16,15.25,2017/08/16,15.25,2017/09/18,0.75,0,0.75,0.3,0,0.3,1.05,15.7,6.69
2015,2016,2016/06/24,2016/08/10,13.85,2016/08/10,13.85,2016/09/14,0.3,0,0.3,0.7,0,0.7,1,14.1,7.11
2014,2015,2015/06/12,2015/08/13,14.4,2015/02/02,16.3,2015/09/25,0.5,0,0.5,0.4,0.1,0.5,1,15.2,6.56
2013,2014,2014/06/20,2014/08/19,16.15,2014/08/19,16.15,2014/10/08,0.5,0,0.5,0,0.5,0.5,1,16.5,6.06
2012,2013,2013/06/21,2013/08/14,15.6,2013/08/14,15.6,,0.4,0,0.4,0.4,0.2,0.6,1,16.6,6.02
2011,2012,2012/06/22,2012/08/02,16.95,2012/08/02,16.95,,0.04,0.46,0.5,0,0.5,0.5,1,17.2,5.81
