2016,2017,2017/06/26,,,,,,0,0,0,0,0,0,0,2.6,0
2015,2016,2016/06/29,,,,,,0,0,0,0,0,0,0,2.33,0
2014,2015,2015/06/25,,,,,,0,0,0,0,0,0,0,3.46,0
2013,2014,2014/06/19,,,,,,0,0,0,0,0,0,0,5.61,0
2012,2013,2013/06/20,,,,,,0,0,0,0,0,0,0,7.63,0
2011,2012,2012/06/28,,,,,,0,0,0,0,0,0,0,14.4,0
2010,2011,2011/06/17,2011/11/14,16.05,2011/11/14,16.05,,1.1,0,1.1,0.7,0,0.7,1.8,42.6,4.22
2009,2010,2010/06/25,,,,,,0,0,0,0,0,0,0,49.4,0
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,21.2,0
2007,2008,2008/06/19,2008/11/04,13.1,2008/11/04,13.1,,0.6,0,0.6,0.6,0,0.6,1.2,24.9,4.82
2006,2007,2007/06/15,2007/09/28,43.7,2007/09/28,43.7,,0.64,0,0.64,0.7,0,0.7,1.34,57.4,2.33
2005,2006,2006/06/26,2006/08/30,65.2,2006/08/30,65.2,,0.96,0,0.96,1.92,0,1.92,2.88,71.8,4.01
2004,2005,2005/10/21,2005/11/23,38.85,2005/11/23,38.85,,0.84,0,0.84,1.4,0,1.4,2.24,46.3,4.83
2003,2004,2004/06/24,2004/10/21,26.1,2004/10/21,26.1,,2.3,0,2.3,0.9,0,0.9,3.2,37.7,8.49
2002,2003,2003/06/27,2003/09/19,49.8,2003/09/19,49.8,,2.1,0,2.1,0.8,0,0.8,2.9,45.4,6.39
2001,2002,2002/06/18,,,,,,1.5,0,1.5,2.5,0,2.5,4,64.9,6.16
2000,2001,2001/06/28,,,,,,1,0,1,3,0,3,4,74.2,5.39
1999,2000,2000/06/28,,,2000/09/20,,,0,0,0,5,0,5,5,,
1998,1999,,,,,,,0,0,0,5,0,5,5,,
1997,1998,,,,,,,0,0,0,0,0,0,0,,
