2016,2017,2017/06/22,2017/08/11,32.5,,,2017/09/08,2,0,2,0,0,0,2,35.6,5.62
2015,2016,2016/05/26,2016/08/09,,2016/08/09,,2016/09/23,0.5,0,0.5,0.5,0,0.5,1,42,2.38
2014,2015,2015/06/25,2015/09/11,,2015/09/11,,2015/10/08,0.5,0,0.5,0.3,0,0.3,0.8,,
2013,2014,2014/06/24,2014/09/01,,2014/09/01,,2014/09/29,0.5,0,0.5,0.7,0,0.7,1.2,,
2012,2013,2013/06/25,2013/08/23,,2013/08/23,,,0.8,0,0.8,0.5,0,0.5,1.3,,
2011,2012,2012/06/21,2012/08/17,,2012/08/17,,,1,0,1,1.5,0,1.5,2.5,,
2010,2011,2011/06/21,,,,,,1,0,1,1.5,0,1.5,2.5,,
