2016,2017,2017/06/23,2017/07/20,26.5,,,2017/08/18,2,0,2,0,0,0,2,28.6,6.99
2015,2016,2016/06/24,2016/07/21,21.3,,,2016/08/12,2,0,2,0,0,0,2,22,9.09
2014,2015,2015/06/26,2015/07/23,18.7,,,2015/08/13,1.4,0,1.4,0,0,0,1.4,21.3,6.57
2013,2014,2014/06/26,2014/07/24,23.6,,,2014/08/13,0.4,0,0.4,0,0,0,0.4,21.8,1.84
2012,2013,2013/06/27,2013/07/24,19.5,,,,1,0,1,0,0,0,1,18.5,5.42
2011,2012,2012/06/26,2012/07/25,22.2,,,,1.6,0,1.6,0,0,0,1.6,23.7,6.76
2010,2011,2011/06/28,2011/07/27,32.9,,,,2.5,0,2.5,0,0,0,2.5,32.5,7.69
2009,2010,2010/06/29,2010/07/27,41,,,,0.9,0,0.9,0,0,0,0.9,43.1,2.09
2008,2009,2009/06/26,2009/07/17,27.15,,,,1,0,1,0,0,0,1,30.3,3.3
2007,2008,2008/06/27,2008/07/17,36.8,,,,3.2,0,3.2,0,0,0,3.2,37.1,8.63
2006,2007,2007/06/28,2007/08/16,,2007/08/16,,,2,0,2,0.5,0,0.5,2.5,56.3,4.44
2005,2006,,,,,,,0.2,0,0.2,0.8,0,0.8,1,,
1999,2000,,,,,,,0,0,0,0,0,0,0,,
1998,1999,,,,,,,0,0,0,0,0,0,0,,
